iter	Logloss
0	0.6881458868
1	0.6856458221
2	0.6832062334
3	0.6799462476
4	0.6771838912
5	0.6752836643
6	0.6720159113
7	0.6693029361
8	0.6671484751
9	0.6651517941
10	0.6631083603
11	0.6601257314
12	0.6576311746
13	0.6548623576
14	0.6525316372
15	0.6498409456
16	0.6471940133
17	0.6447481548
18	0.6426111573
19	0.6418253303
20	0.6398953621
21	0.6377272174
22	0.635172819
23	0.6344594539
24	0.6322701312
25	0.6299582
26	0.6280911205
27	0.6264624339
28	0.6245785284
29	0.6225730381
30	0.6199531828
31	0.6179828974
32	0.6172630346
33	0.6152331783
34	0.6135098759
35	0.6116174122
36	0.6093901313
37	0.6077696027
38	0.6069685479
39	0.6064902544
40	0.604511272
41	0.6025123145
42	0.6004183634
43	0.5994044469
44	0.5984074633
45	0.596852954
46	0.5964515742
47	0.5960596662
48	0.5944221521
49	0.5919092895
50	0.5913276406
51	0.5902709787
52	0.5875668673
53	0.5862522071
54	0.5859243971
55	0.5846499794
56	0.5837706189
57	0.5828667772
58	0.5820909511
59	0.5803352616
60	0.5796058966
61	0.5793009151
62	0.5784903898
63	0.5777975238
64	0.5766355721
65	0.5759229064
66	0.5756801676
67	0.5747699005
68	0.5726990593
69	0.5713399978
70	0.5711202231
71	0.5702000376
72	0.5691362065
73	0.5683812349
74	0.5676951111
75	0.5653052654
76	0.5649727775
77	0.5640694053
78	0.563044594
79	0.5616696467
80	0.5607257701
81	0.5598387328
82	0.5590552091
83	0.5585509456
84	0.5570805919
85	0.5569318047
86	0.5556840509
87	0.5539799474
88	0.5528302649
89	0.5516643507
90	0.5510786435
91	0.5490443596
92	0.5476890737
93	0.5470412804
94	0.545384033
95	0.5443801755
96	0.5429518177
97	0.5411618605
98	0.5405705045
99	0.5390338682
100	0.5371847342
101	0.5366062454
102	0.5361781222
103	0.534545148
104	0.5336790449
105	0.5334521052
106	0.5331369453
107	0.5330539516
108	0.5320050599
109	0.5301235745
110	0.5282118654
111	0.5279252192
112	0.5269721873
113	0.5253958523
114	0.5253290844
115	0.5251958107
116	0.5243991386
117	0.5235945272
118	0.5227009833
119	0.5223367791
120	0.5207290357
121	0.5196765807
122	0.5196218151
123	0.5179338873
124	0.517653708
125	0.5162721732
126	0.5154145022
127	0.5150744296
128	0.514152617
129	0.51382286
130	0.5128996361
131	0.5119603874
132	0.510570085
133	0.5105315448
134	0.5096940525
135	0.5094525536
136	0.5087823561
137	0.5086176993
138	0.5075639827
139	0.5059414153
140	0.505439883
141	0.5038067434
142	0.5030744891
143	0.5023836419
144	0.502217357
145	0.5008391974
146	0.4994459389
147	0.4982191402
148	0.4974139593
149	0.496686391
150	0.4962766216
151	0.4962543846
152	0.4939329556
153	0.4927020992
154	0.4925647191
155	0.4920387174
156	0.4908067326
157	0.4907736975
158	0.4897905199
159	0.4892311958
160	0.4886336337
161	0.4880086125
162	0.4873195709
163	0.4864773442
164	0.4851182855
165	0.4835303954
166	0.483516551
167	0.4820400942
168	0.4814544897
169	0.4813853632
170	0.4810455376
171	0.4805272439
172	0.4793862093
173	0.4790237716
174	0.4782470161
175	0.477455817
176	0.476700628
177	0.476063316
178	0.4754054485
179	0.4750790913
180	0.4739548554
181	0.4733664622
182	0.4730455574
183	0.4730052397
184	0.4721778226
185	0.4720062103
186	0.4716484861
187	0.4703143729
188	0.4688968151
189	0.4676767978
190	0.4673659575
191	0.4664726233
192	0.4652094776
193	0.4650657058
194	0.4643287804
195	0.4642787355
196	0.4641617341
197	0.4633317863
198	0.4632236783
199	0.4630477971
200	0.4619105617
201	0.4612374229
202	0.4605932997
203	0.4602474002
204	0.4595383906
205	0.4590859315
206	0.4585222904
207	0.4575278447
208	0.4572625407
209	0.4563526263
210	0.4556330621
211	0.4548010567
212	0.4539616571
213	0.4530481657
214	0.4529622802
215	0.4518638699
216	0.4509159716
217	0.4500646925
218	0.4491611553
219	0.4490424711
220	0.4482609289
221	0.4474572138
222	0.4450889499
223	0.445087299
224	0.4443539568
225	0.4436885648
226	0.4434469115
227	0.443126041
228	0.4423225931
229	0.4419069929
230	0.4411585351
231	0.4406541957
232	0.4399199639
233	0.4389054557
234	0.4388372765
235	0.4382606286
236	0.4372978631
237	0.4371416658
238	0.4363412518
239	0.4357955645
240	0.4356824053
241	0.4349679845
242	0.4341412181
243	0.433377714
244	0.4323190538
245	0.4320430808
246	0.4309083424
247	0.4306159337
248	0.4303781594
249	0.4291320446
250	0.4288927694
251	0.4288228851
252	0.42840442
253	0.4273679396
254	0.4271034947
255	0.4270158582
256	0.4268152837
257	0.4264400142
258	0.4257302406
259	0.4247629352
260	0.4247275007
261	0.4242122768
262	0.4235490204
263	0.4226654998
264	0.4219122149
265	0.4211675178
266	0.420700529
267	0.4199827097
268	0.4195620785
269	0.4188025663
270	0.4181694527
271	0.4173896281
272	0.4167731667
273	0.4161771082
274	0.4160069748
275	0.4155230517
276	0.4149258064
277	0.4139846371
278	0.4129557943
279	0.4127145491
280	0.4123689955
281	0.411693685
282	0.4111299703
283	0.4104011985
284	0.4097080594
285	0.4094091342
286	0.4091941418
287	0.4086173811
288	0.4082547434
289	0.407696858
290	0.4071415037
291	0.4066136494
292	0.4065905634
293	0.4059528601
294	0.4055166728
295	0.4051806711
296	0.40481508
297	0.404521291
298	0.403980237
299	0.402373296
300	0.4017967579
301	0.4012182958
302	0.4003330073
303	0.4000719777
304	0.3995672267
305	0.3992060041
306	0.3984790989
307	0.3978629245
308	0.3977692964
309	0.3974226746
310	0.3966899266
311	0.3958432681
312	0.3948354621
313	0.3942121824
314	0.3935572799
315	0.3928090888
316	0.3922056411
317	0.3910395356
318	0.3900297325
319	0.3894940887
320	0.3893877337
321	0.3892913031
322	0.3888137841
323	0.3885931949
324	0.3882832907
325	0.3875326882
326	0.3871634967
327	0.3871606652
328	0.3870031067
329	0.3869312088
330	0.3861540098
331	0.3857784696
332	0.3851655242
333	0.3847486409
334	0.383619333
335	0.3831650986
336	0.3824221488
337	0.3822285573
338	0.3814371097
339	0.3811840124
340	0.3806462517
341	0.3795809766
342	0.3794155467
343	0.3786882303
344	0.3780676792
345	0.3779536509
346	0.3777678552
347	0.3773228089
348	0.3769327115
349	0.3761199147
350	0.3756097664
351	0.3751391844
352	0.3745656538
353	0.3740073575
354	0.3733019307
355	0.3729395379
356	0.372573208
357	0.3719825572
358	0.3715073587
359	0.3711788278
360	0.3699303483
361	0.3692028513
362	0.3685315123
363	0.3677939254
364	0.3670840061
365	0.366533852
366	0.366169189
367	0.3658676854
368	0.3651972462
369	0.3644761207
370	0.3640059499
371	0.3637403766
372	0.3626201645
373	0.361689274
374	0.3615574423
375	0.3610237836
376	0.3607446905
377	0.360150017
378	0.3601069431
379	0.3591989823
380	0.3591113902
381	0.3587019291
382	0.3578049891
383	0.3575173846
384	0.3571449119
385	0.3565640219
386	0.3561363308
387	0.3558262103
388	0.3554154119
389	0.3550627323
390	0.3544685596
391	0.3537398295
392	0.3533039873
393	0.3530445224
394	0.3527171373
395	0.3522933263
396	0.3518804693
397	0.3513406593
398	0.3510307182
399	0.3505190657
400	0.3504169343
401	0.3501086009
402	0.3499249786
403	0.3491587281
404	0.3479206002
405	0.3471279629
406	0.3464788033
407	0.3462165926
408	0.3458209524
409	0.3456679414
410	0.3453975626
411	0.3447348648
412	0.3440305014
413	0.3437699399
414	0.3431861153
415	0.3424838068
416	0.3421768787
417	0.3420589738
418	0.3413939984
419	0.3405998266
420	0.3397498258
421	0.33884243
422	0.338394722
423	0.3378834498
424	0.3371261588
425	0.3364678198
426	0.3357479097
427	0.3349673049
428	0.3346332901
429	0.3339793617
430	0.3337035782
431	0.3332683637
432	0.3330867484
433	0.3326845714
434	0.332595756
435	0.3322471558
436	0.331608485
437	0.3313542803
438	0.3307059585
439	0.3303476868
440	0.329710808
441	0.3297019321
442	0.3292656204
443	0.3285806005
444	0.3280551847
445	0.327935195
446	0.3271725549
447	0.3268222701
448	0.3263529276
449	0.3260601449
450	0.3252208011
451	0.3245080893
452	0.3241713778
453	0.3233496624
454	0.3230360509
455	0.3222205106
456	0.3217941907
457	0.3213250818
458	0.3206704384
459	0.320228886
460	0.3197455237
461	0.3189805163
462	0.3186071992
463	0.3182572872
464	0.3176249183
465	0.3170930079
466	0.3165189634
467	0.3162042855
468	0.3157815977
469	0.3153172837
470	0.3146369704
471	0.3140605542
472	0.3136475
473	0.3126332581
474	0.3119944957
475	0.3114365181
476	0.311077631
477	0.3108133428
478	0.3102833293
479	0.3095702822
480	0.3092942215
481	0.3087326315
482	0.3085064979
483	0.3078605351
484	0.3072956217
485	0.3068900002
486	0.3063898667
487	0.3057680652
488	0.3054649977
489	0.3051021385
490	0.3047412759
491	0.304370876
492	0.3040871103
493	0.303647876
494	0.3035697279
495	0.3029497697
496	0.3022792272
497	0.3019270803
498	0.3015243854
499	0.3005487066
500	0.3000626763
501	0.2999573934
502	0.2993866515
503	0.2988293865
504	0.2981505942
505	0.2977659195
506	0.2969731398
507	0.2965518286
508	0.2962478798
509	0.2956851365
510	0.2950917245
511	0.2943965346
512	0.2939639093
513	0.293703004
514	0.2932933005
515	0.293069408
516	0.2926303084
517	0.2920379886
518	0.2913484284
519	0.2906192213
520	0.2901338886
521	0.289732425
522	0.2890959882
523	0.2886805648
524	0.288257274
525	0.2879386219
526	0.2870712948
527	0.286670095
528	0.286298495
529	0.2859899182
530	0.285435325
531	0.2849533843
532	0.2842634726
533	0.2836722144
534	0.2831199529
535	0.2826908728
536	0.2824009124
537	0.2817697909
538	0.2814278354
539	0.2812585989
540	0.2806451011
541	0.2803703528
542	0.2798782967
543	0.279183911
544	0.2787842219
545	0.2781501292
546	0.2777100732
547	0.2772043361
548	0.2766917983
549	0.2760104503
550	0.2756403274
551	0.2753900473
552	0.2751976386
553	0.2746634762
554	0.2742013671
555	0.273907021
556	0.2734599832
557	0.2732262449
558	0.2727162955
559	0.2718792769
560	0.2715186223
561	0.2708758773
562	0.270438659
563	0.2699766496
564	0.2695588351
565	0.2690530005
566	0.2685102056
567	0.2679940684
568	0.2675875842
569	0.2672823238
570	0.2668791586
571	0.2666041728
572	0.2660279029
573	0.2656493931
574	0.2652968284
575	0.2648421676
576	0.2642869
577	0.2635663964
578	0.2630652419
579	0.2625087614
580	0.2623738013
581	0.2616457714
582	0.261140397
583	0.2609220048
584	0.260427493
585	0.2601718172
586	0.259546855
587	0.2587878205
588	0.2585653828
589	0.2581841979
590	0.2579540968
591	0.2574919767
592	0.2568721997
593	0.2566674385
594	0.2560424222
595	0.2557065095
596	0.255142692
597	0.2548305868
598	0.2543718132
599	0.25392543
600	0.2534077501
601	0.2527860038
602	0.2526277673
603	0.2520156378
604	0.2515041531
605	0.2509833141
606	0.2507450554
607	0.2503368466
608	0.2498936429
609	0.2489409989
610	0.2485882515
611	0.2483997141
612	0.2479940779
613	0.2476135753
614	0.2472516055
615	0.2468129237
616	0.2462771504
617	0.2458377365
618	0.2454178297
619	0.2451274997
620	0.2444696418
621	0.2439739687
622	0.2437876811
623	0.2433427303
624	0.2429946955
625	0.2424636159
626	0.2419270579
627	0.2416933978
628	0.2411922232
629	0.2408934131
630	0.2406823119
631	0.2403797408
632	0.2400725725
633	0.2393564151
634	0.2390018566
635	0.2387322076
636	0.2382455866
637	0.2378057733
638	0.237015103
639	0.2367700802
640	0.2366046585
641	0.2362799908
642	0.2360271823
643	0.235256811
644	0.2347727524
645	0.2342745312
646	0.2338743922
647	0.2336554521
648	0.2333472091
649	0.2330875942
650	0.2327953631
651	0.2321596858
652	0.2317871836
653	0.2315129872
654	0.2311403573
655	0.2308050747
656	0.2303573631
657	0.2297625379
658	0.2293779074
659	0.2290377898
660	0.2285822826
661	0.2282049156
662	0.2278630101
663	0.2275946384
664	0.2272543724
665	0.2268131641
666	0.226550162
667	0.2260560328
668	0.2255130692
669	0.2250581118
670	0.2248004628
671	0.2243909833
672	0.2242531811
673	0.2238326018
674	0.2234968421
675	0.2231730109
676	0.2226244762
677	0.2223559704
678	0.2219809512
679	0.2215900637
680	0.2211338185
681	0.2209344594
682	0.22064713
683	0.2201621385
684	0.2197736724
685	0.2195771187
686	0.2192962933
687	0.2189827657
688	0.2187437613
689	0.218169321
690	0.2178586344
691	0.2175895204
692	0.2167820584
693	0.2166273451
694	0.2162760196
695	0.2156757281
696	0.2153647191
