iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP	Accuracy_SumError	Accuracy_SumWeight
155	78	105	78	80	78	80	105	90	119
156	78	105	78	80	78	80	105	90	119
157	78	105	78	80	78	80	105	90	119
158	78	105	78	80	78	80	105	90	119
159	78	105	78	80	78	80	105	90	119
160	78	105	78	80	78	80	105	90	119
161	78	105	78	80	78	80	105	90	119
162	78	105	78	80	78	80	105	90	119
163	78	105	78	80	78	80	105	90	119
164	78	105	78	80	78	80	105	90	119
165	77	104	77	80	77	80	104	89	119
166	77	104	77	80	77	80	104	89	119
167	77	104	77	80	77	80	104	89	119
168	77	104	77	80	77	80	104	89	119
169	77	104	77	80	77	80	104	89	119
170	77	104	77	80	77	80	104	89	119
171	77	104	77	80	77	80	104	89	119
172	77	104	77	80	77	80	104	89	119
173	77	104	77	80	77	80	104	89	119
174	77	104	77	80	77	80	104	89	119
175	77	104	77	80	77	80	104	89	119
176	77	104	77	80	77	80	104	89	119
177	77	104	77	80	77	80	104	89	119
178	77	104	77	80	77	80	104	89	119
179	77	104	77	80	77	80	104	89	119
180	77	104	77	80	77	80	104	89	119
181	77	104	77	80	77	80	104	89	119
182	77	104	77	80	77	80	104	89	119
183	77	104	77	80	77	80	104	89	119
184	77	104	77	80	77	80	104	89	119
185	77	104	77	80	77	80	104	89	119
186	77	104	77	80	77	80	104	89	119
187	77	104	77	80	77	80	104	89	119
188	77	104	77	80	77	80	104	89	119
189	77	104	77	80	77	80	104	89	119
190	77	104	77	80	77	80	104	89	119
191	77	104	77	80	77	80	104	89	119
192	77	104	77	80	77	80	104	89	119
193	77	104	77	80	77	80	104	89	119
194	77	104	77	80	77	80	104	89	119
195	77	104	77	80	77	80	104	89	119
196	77	104	77	80	77	80	104	89	119
197	77	104	77	80	77	80	104	89	119
198	77	104	77	80	77	80	104	89	119
199	77	104	77	80	77	80	104	89	119
200	77	104	77	80	77	80	104	89	119
201	77	104	77	80	77	80	104	89	119
202	77	104	77	80	77	80	104	89	119
203	77	104	77	80	77	80	104	89	119
204	77	104	77	80	77	80	104	89	119
205	77	104	77	80	77	80	104	89	119
206	77	104	77	80	77	80	104	89	119
207	77	104	77	80	77	80	104	89	119
208	77	104	77	80	77	80	104	89	119
209	77	104	77	80	77	80	104	89	119
210	77	104	77	80	77	80	104	89	119
211	77	103	77	80	77	80	103	90	119
212	77	102	77	80	77	80	102	91	119
213	77	103	77	80	77	80	103	90	119
214	77	103	77	80	77	80	103	90	119
215	77	103	77	80	77	80	103	90	119
216	77	103	77	80	77	80	103	90	119
217	77	103	77	80	77	80	103	90	119
218	77	103	77	80	77	80	103	90	119
219	77	103	77	80	77	80	103	90	119
220	77	102	77	80	77	80	102	91	119
221	77	102	77	80	77	80	102	91	119
222	77	102	77	80	77	80	102	91	119
223	77	102	77	80	77	80	102	91	119
224	77	102	77	80	77	80	102	91	119
225	77	102	77	80	77	80	102	91	119
226	77	102	77	80	77	80	102	91	119
227	77	102	77	80	77	80	102	91	119
228	77	102	77	80	77	80	102	91	119
229	77	102	77	80	77	80	102	91	119
230	77	102	77	80	77	80	102	91	119
231	77	102	77	80	77	80	102	91	119
232	77	102	77	80	77	80	102	91	119
233	77	102	77	80	77	80	102	91	119
234	77	102	77	80	77	80	102	91	119
235	77	102	77	80	77	80	102	91	119
236	77	102	77	80	77	80	102	91	119
237	77	102	77	80	77	80	102	91	119
238	77	102	77	80	77	80	102	91	119
239	77	102	77	80	77	80	102	91	119
240	77	102	77	80	77	80	102	91	119
241	77	102	77	80	77	80	102	91	119
242	77	102	77	80	77	80	102	91	119
243	77	102	77	80	77	80	102	91	119
244	77	102	77	80	77	80	102	91	119
245	77	102	77	80	77	80	102	91	119
246	77	102	77	80	77	80	102	91	119
247	77	102	77	80	77	80	102	91	119
248	77	102	77	80	77	80	102	91	119
249	77	102	77	80	77	80	102	91	119
250	77	102	77	80	77	80	102	91	119
251	77	102	77	80	77	80	102	91	119
252	77	102	77	80	77	80	102	91	119
253	77	102	77	80	77	80	102	91	119
254	77	102	77	80	77	80	102	91	119
255	77	102	77	80	77	80	102	91	119
256	77	102	77	80	77	80	102	91	119
257	77	102	77	80	77	80	102	91	119
258	77	102	77	80	77	80	102	91	119
259	77	102	77	80	77	80	102	91	119
260	77	102	77	80	77	80	102	91	119
261	77	102	77	80	77	80	102	91	119
262	77	102	77	80	77	80	102	91	119
263	77	102	77	80	77	80	102	91	119
264	77	102	77	80	77	80	102	91	119
265	77	102	77	80	77	80	102	91	119
266	77	102	77	80	77	80	102	91	119
267	77	102	77	80	77	80	102	91	119
268	77	102	77	80	77	80	102	91	119
269	77	102	77	80	77	80	102	91	119
270	77	102	77	80	77	80	102	91	119
271	77	102	77	80	77	80	102	91	119
272	77	102	77	80	77	80	102	91	119
273	77	102	77	80	77	80	102	91	119
274	77	102	77	80	77	80	102	91	119
275	77	102	77	80	77	80	102	91	119
276	77	102	77	80	77	80	102	91	119
277	77	102	77	80	77	80	102	91	119
278	77	102	77	80	77	80	102	91	119
279	77	102	77	80	77	80	102	91	119
280	77	102	77	80	77	80	102	91	119
281	77	102	77	80	77	80	102	91	119
282	77	102	77	80	77	80	102	91	119
283	77	102	77	80	77	80	102	91	119
284	77	102	77	80	77	80	102	91	119
285	77	102	77	80	77	80	102	91	119
286	77	102	77	80	77	80	102	91	119
287	77	102	77	80	77	80	102	91	119
288	77	102	77	80	77	80	102	91	119
289	77	102	77	80	77	80	102	91	119
290	77	102	77	80	77	80	102	91	119
291	77	102	77	80	77	80	102	91	119
292	77	102	77	80	77	80	102	91	119
293	77	102	77	80	77	80	102	91	119
294	77	102	77	80	77	80	102	91	119
295	77	102	77	80	77	80	102	91	119
296	77	102	77	80	77	80	102	91	119
297	77	102	77	80	77	80	102	91	119
298	77	102	77	80	77	80	102	91	119
299	77	102	77	80	77	80	102	91	119
300	77	102	77	80	77	80	102	91	119
301	77	102	77	80	77	80	102	91	119
302	77	102	77	80	77	80	102	91	119
303	77	102	77	80	77	80	102	91	119
304	77	102	77	80	77	80	102	91	119
305	77	102	77	80	77	80	102	91	119
306	77	102	77	80	77	80	102	91	119
